Customer ID;Name;Joined;Status;Progress;Target
001DK;David Kleermakers;18/03/2008;Office;100;3219
002LS;Laura Schneider;17/06/2011;Flight;79;-6692
003IT;Isaac Tailor;11/08/2009;On Leave;28;8652
004LS;Leon Sastre;02/01/1996;Flight;100;7254
005MT;Marie Tailleur;16/07/2014;Flight;100;1219
006VS;Valerie Skredder;07/01/2015;Office;90;-2474
007CA;Carol Alfaiate;11/08/1998;On Leave;69;-4652
008KT;Kristoff Terzi;19/12/2004;Abroad;39;-3685
009AS;Arthur Skraddare;24/04/2007;Abroad;8;-4184
010BF;Bianca Fontaine;13/09/2012;Office;72;5890
011RM;Rafael Monteiro;05/05/2010;Flight;64;-1240
012EN;Elisa Novak;29/10/2003;On Leave;36;2198
013GO;Gabriel Otero;14/02/2018;Office;94;998
014HW;Helena Wright;21/07/2001;Abroad;47;-7821
015CM;Clara Mendes;30/03/2016;Flight;83;4580
016PB;Patrick Bloom;09/12/1999;Office;55;-932
017AD;Ana Duarte;26/08/2020;On Leave;22;-3018
018JV;Jonas Vermeer;07/04/2006;Flight;88;6725
019SR;Sofia Ribeiro;19/11/2013;Abroad;43;-578
020TG;Thomas Gerard;01/06/2005;Office;97;8260
021ML;Maya Laurent;12/01/2017;Flight;76;3144
022HN;Hugo Nascimento;28/09/2002;On Leave;31;-6440
023IC;Ines Costa;15/05/2019;Office;91;1875
024FE;Felix Eriksen;23/02/2008;Abroad;52;-2199
025AR;Alice Rodrigues;10/10/2011;Flight;67;3901
026VN;Victor Neumann;04/03/2015;Office;84;-1288
027LB;Lena Becker;18/12/2000;On Leave;18;-5120
028MM;Miguel Martins;25/06/2014;Flight;73;622
029ND;Nadia Dupont;06/08/2009;Abroad;41;-944
030OW;Oliver Weber;31/01/2007;Office;95;7340
031PR;Paula Ramos;22/04/2016;Flight;81;2205
032JK;Jan Kowalski;09/07/2004;On Leave;26;-7990
033TS;Tania Silva;17/11/2018;Office;90;1542
034BD;Bruno Diniz;03/02/2012;Abroad;45;-3766
035LC;Livia Carvalho;27/05/2021;Flight;68;4811
036MW;Marta Weiss;11/09/2006;Office;99;903
037AA;Andre Almeida;20/12/2001;On Leave;33;-2666
038CN;Camila Navarro;08/08/2010;Flight;74;3489
039RE;Ruben Esteves;13/03/2017;Abroad;50;-1097
040KS;Karin Schmidt;24/10/2005;Office;87;6110
041DG;Daniel Gomes;05/01/2019;Flight;62;2777
042EP;Eva Pereira;16/06/2003;On Leave;24;-4300
043FV;Fiona Varga;29/09/2015;Office;92;5018
044YL;Yann Leclerc;02/04/2008;Abroad;58;-1565
045RS;Renata Sousa;19/07/2020;Flight;71;3321
046BA;Boris Andersen;27/11/1997;Office;86;7588
047NP;Noemi Pires;15/02/2014;On Leave;30;-612
048SS;Samuel Santos;06/12/2011;Flight;78;4176
049EV;Emma Veld;23/05/2009;Abroad;49;-2860
050MA;Marco Alves;01/08/2018;Office;93;6904
051TR;Teresa Rossi;14/01/2002;Flight;66;2390
052OL;Oscar Lima;30/06/2006;On Leave;21;-8772
053NF;Nora Fischer;18/10/2019;Office;89;1117
054LD;Lucas Dias;09/03/2013;Abroad;54;-3405
055CB;Catarina Barbosa;25/12/2016;Flight;82;5628
056GM;Gustav Muller;12/05/2004;Office;96;785
057VA;Vanessa Azevedo;04/09/2017;On Leave;35;-1999
058XP;Xavier Pinto;21/02/2010;Flight;70;4480
059IR;Iris Ribeiro;07/07/2008;Abroad;44;-5205
060DN;Dario Nunes;28/11/2015;Office;91;3722
